measured_value,probability,fraction,denominator,tested_periods,valid_periods,accepted
3072,0.08333349227905273,3/4,4,4 8 12 16 20 24 28 32,12,True
1024,0.08333349227905273,1/4,4,4 8 12 16 20 24 28 32,12,True
2048,0.08333349227905273,1/2,2,2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34,12,True
2731,0.05699326504621359,2/3,3,3 6 9 12 15 18 21 24 27 30 33,12,True
683,0.05699326504621359,1/6,6,6 12 18 24 30,12,True
3755,0.05699326504621359,11/12,12,12 24,12,True
